━━━ Training ━━━
{'loss': 0.7766, 'grad_norm': 8.960058212280273, 'learning_rate': 1.9469315149718353e-05, 'epoch': 1.66}                                        
{'loss': 0.8661, 'grad_norm': 6.740653991699219, 'learning_rate': 1.938037355469908e-05, 'epoch': 1.67}                                         
{'loss': 0.7504, 'grad_norm': 5.823899745941162, 'learning_rate': 1.929143195967981e-05, 'epoch': 1.69}                                         
{'loss': 0.8397, 'grad_norm': 9.721851348876953, 'learning_rate': 1.9202490364660542e-05, 'epoch': 1.7}                                         
{'loss': 0.8214, 'grad_norm': 7.968067169189453, 'learning_rate': 1.911354876964127e-05, 'epoch': 1.71}                                         
{'loss': 0.731, 'grad_norm': 10.295980453491211, 'learning_rate': 1.9024607174621998e-05, 'epoch': 1.72}                                        
{'loss': 0.7705, 'grad_norm': 5.791612148284912, 'learning_rate': 1.8935665579602728e-05, 'epoch': 1.73}                                        
{'loss': 0.8263, 'grad_norm': 6.397763252258301, 'learning_rate': 1.8846723984583458e-05, 'epoch': 1.74}                                        
{'loss': 0.693, 'grad_norm': 7.724331855773926, 'learning_rate': 1.8757782389564184e-05, 'epoch': 1.75}                                         
{'loss': 0.9102, 'grad_norm': 6.165887355804443, 'learning_rate': 1.8668840794544917e-05, 'epoch': 1.76}                                        
{'loss': 0.8208, 'grad_norm': 11.86578369140625, 'learning_rate': 1.8579899199525647e-05, 'epoch': 1.77}                                        
{'loss': 0.7619, 'grad_norm': 6.5980143547058105, 'learning_rate': 1.8490957604506373e-05, 'epoch': 1.78}                                       
{'loss': 0.892, 'grad_norm': 11.473382949829102, 'learning_rate': 1.8402016009487106e-05, 'epoch': 1.79}                                        
{'loss': 0.6514, 'grad_norm': 7.107180118560791, 'learning_rate': 1.8313074414467832e-05, 'epoch': 1.8}                                         
{'loss': 0.9392, 'grad_norm': 9.266406059265137, 'learning_rate': 1.8224132819448562e-05, 'epoch': 1.81}                                        
{'loss': 0.6251, 'grad_norm': 9.794136047363281, 'learning_rate': 1.813519122442929e-05, 'epoch': 1.82}                                         
{'loss': 0.762, 'grad_norm': 11.523041725158691, 'learning_rate': 1.804624962941002e-05, 'epoch': 1.83}                                         
{'loss': 0.666, 'grad_norm': 7.182831764221191, 'learning_rate': 1.795730803439075e-05, 'epoch': 1.85}                                          
{'loss': 0.8482, 'grad_norm': 12.150879859924316, 'learning_rate': 1.786836643937148e-05, 'epoch': 1.86}                                        
{'loss': 0.7945, 'grad_norm': 8.243453025817871, 'learning_rate': 1.777942484435221e-05, 'epoch': 1.87}                                         
{'loss': 0.7912, 'grad_norm': 9.324371337890625, 'learning_rate': 1.7690483249332936e-05, 'epoch': 1.88}                                        
{'loss': 0.8694, 'grad_norm': 7.738948822021484, 'learning_rate': 1.760154165431367e-05, 'epoch': 1.89}                                         
{'loss': 0.8008, 'grad_norm': 8.627655029296875, 'learning_rate': 1.7512600059294396e-05, 'epoch': 1.9}                                         
{'loss': 0.8048, 'grad_norm': 7.737802982330322, 'learning_rate': 1.7423658464275125e-05, 'epoch': 1.91}                                        
{'loss': 0.7843, 'grad_norm': 9.022467613220215, 'learning_rate': 1.7334716869255855e-05, 'epoch': 1.92}                                        
{'loss': 0.8179, 'grad_norm': 12.124151229858398, 'learning_rate': 1.7245775274236585e-05, 'epoch': 1.93}                                       
{'loss': 0.9312, 'grad_norm': 11.921961784362793, 'learning_rate': 1.7156833679217314e-05, 'epoch': 1.94}                                       
{'loss': 0.7798, 'grad_norm': 5.204090595245361, 'learning_rate': 1.7067892084198044e-05, 'epoch': 1.95}                                        
{'loss': 0.7865, 'grad_norm': 6.632259368896484, 'learning_rate': 1.6978950489178774e-05, 'epoch': 1.96}                                        
{'loss': 0.7936, 'grad_norm': 8.639317512512207, 'learning_rate': 1.68900088941595e-05, 'epoch': 1.97}                                          
{'loss': 0.8579, 'grad_norm': 8.823023796081543, 'learning_rate': 1.6801067299140233e-05, 'epoch': 1.98}                                        
{'loss': 0.8022, 'grad_norm': 10.8953275680542, 'learning_rate': 1.671212570412096e-05, 'epoch': 1.99}                                          
{'eval_loss': 0.9115225672721863, 'eval_accuracy': 0.596, 'eval_macro_f1': 0.5956, 'eval_runtime': 4.8513, 'eval_samples_per_second': 206.13, 'eval_steps_per_second': 51.533, 'epoch': 2.0}                                                                                                    
{'loss': 0.7083, 'grad_norm': 8.191520690917969, 'learning_rate': 1.662318410910169e-05, 'epoch': 2.01}                                         
{'loss': 0.6129, 'grad_norm': 5.337230682373047, 'learning_rate': 1.6534242514082422e-05, 'epoch': 2.02}
{'loss': 0.5389, 'grad_norm': 7.22648286819458, 'learning_rate': 1.644530091906315e-05, 'epoch': 2.03}                                          
{'loss': 0.5904, 'grad_norm': 5.999479293823242, 'learning_rate': 1.6356359324043878e-05, 'epoch': 2.04}                                        
{'loss': 0.6252, 'grad_norm': 7.144021511077881, 'learning_rate': 1.6267417729024608e-05, 'epoch': 2.05}                                        
{'loss': 0.5804, 'grad_norm': 11.269390106201172, 'learning_rate': 1.6178476134005337e-05, 'epoch': 2.06}                                       
{'loss': 0.5381, 'grad_norm': 9.4146728515625, 'learning_rate': 1.6089534538986064e-05, 'epoch': 2.07}                                          
{'loss': 0.6414, 'grad_norm': 10.265766143798828, 'learning_rate': 1.6000592943966797e-05, 'epoch': 2.08}                                       
{'loss': 0.7005, 'grad_norm': 11.574949264526367, 'learning_rate': 1.5911651348947523e-05, 'epoch': 2.09}                                       
{'loss': 0.5687, 'grad_norm': 7.31398868560791, 'learning_rate': 1.5822709753928253e-05, 'epoch': 2.1}                                          
{'loss': 0.565, 'grad_norm': 12.57150650024414, 'learning_rate': 1.5733768158908986e-05, 'epoch': 2.11}                                         
{'loss': 0.6515, 'grad_norm': 12.588205337524414, 'learning_rate': 1.5644826563889712e-05, 'epoch': 2.12}                                       
{'loss': 0.6387, 'grad_norm': 15.04617691040039, 'learning_rate': 1.555588496887044e-05, 'epoch': 2.13}                                         
{'loss': 0.6424, 'grad_norm': 8.658564567565918, 'learning_rate': 1.546694337385117e-05, 'epoch': 2.14}                                         
{'loss': 0.5149, 'grad_norm': 13.271172523498535, 'learning_rate': 1.53780017788319e-05, 'epoch': 2.15}                                         
{'loss': 0.6354, 'grad_norm': 15.88303279876709, 'learning_rate': 1.5289060183812627e-05, 'epoch': 2.17}                                        
{'loss': 0.5648, 'grad_norm': 10.86732006072998, 'learning_rate': 1.520011858879336e-05, 'epoch': 2.18}                                         
{'loss': 0.6129, 'grad_norm': 6.8933892250061035, 'learning_rate': 1.5111176993774088e-05, 'epoch': 2.19}                                       
{'loss': 0.5961, 'grad_norm': 8.299345016479492, 'learning_rate': 1.5022235398754816e-05, 'epoch': 2.2}                                         
{'loss': 0.654, 'grad_norm': 13.560489654541016, 'learning_rate': 1.4933293803735548e-05, 'epoch': 2.21}                                        
{'loss': 0.5667, 'grad_norm': 10.349104881286621, 'learning_rate': 1.4844352208716276e-05, 'epoch': 2.22}                                       
{'loss': 0.5599, 'grad_norm': 12.194047927856445, 'learning_rate': 1.4755410613697007e-05, 'epoch': 2.23}                                       
